manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Discmania,PD2,12.0,4.0,0.0,4.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PD2-Chaos
Discmania,DD2,13.0,5.0,-2.0,2.0,21.2 cm,1.5 cm,1.1 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Discmania-DD2-Frenzy
Discraft,Putt'r,2.0,3.0,-2.0,1.0,21.0 cm,2.4 cm,1.6 cm,0.9 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Puttr
Discraft,APX,2.0,3.0,-1.0,1.0,21.0 cm,2.3 cm,1.4 cm,0.9 cm,Beaded,Understable,https://infinitediscs.com/Discraft-APX
Discraft,Rattler,2.0,3.0,-1.0,1.0,21.2 cm,2.2 cm,1.6 cm,0.6 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Rattler
Discraft,Challenger SS,2.0,4.0,-1.0,2.0,21.0 cm,2.2 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Challenger-SS
Discraft,Focus,2.0,3.0,-1.0,2.0,21.1 cm,2.1 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Focus
Discraft,Magnet,2.0,3.0,-1.0,2.0,21.2 cm,2.0 cm,0.8 cm,0.8 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Magnet
Discraft,Soft Magnet,2.0,3.0,-1.0,2.0,21.2 cm,2.0 cm,1.4 cm,0.8 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Soft-Magnet
Discraft,Banger GT,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.6 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Discraft-Banger-GT
Discraft,Roach,2.0,4.0,0.0,1.0,21.1 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Roach
Discraft,Challenger,2.0,3.0,0.0,2.0,21.0 cm,2.2 cm,1.6 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Challenger
Discraft,Fierce,3.0,4.0,-2.0,0.0,21.0 cm,2.3 cm,1.4 cm,1.0 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Fierce
Discraft,Ringer,3.0,4.0,0.0,2.0,21.0 cm,1.8 cm,1.2 cm,0.9 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Ringer
Discraft,Challenger OS,3.0,5.0,0.0,2.5,21.1 cm,2.0 cm,1.5 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Challenger-OS
Discraft,Luna,3.0,3.0,0.0,3.0,21.1 cm,2.0 cm,1.4 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Luna
Discraft,Ringer GT,3.0,3.0,0.0,3.0,21.1 cm,1.7 cm,1.1 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Ringer-GT
Discraft,Sol,4.0,5.0,-3.0,0.0,20.0 cm,2.3 cm,1.9 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Sol
Discraft,Meteor,4.0,5.0,-3.0,1.0,21.5 cm,2.0 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Meteor
Discraft,Comet,4.0,5.0,-2.0,1.0,21.8 cm,2.1 cm,1.3 cm,1.2 cm,Beaded,Understable,https://infinitediscs.com/Discraft-Comet
Discraft,Hawk,4.0,5.0,-2.0,2.0,21.5 cm,1.8 cm,1.2 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Hawk
Discraft,Zone,4.0,3.0,0.0,3.0,21.1 cm,2.0 cm,1.3 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Zone
