manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Discmania,DD2,13.0,5.0,-2.0,2.0,21.2 cm,1.5 cm,1.1 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Discmania-DD2-Frenzy
Discmania,DD3,12.0,5.0,-1.0,3.0,21.0 cm,1.8 cm,1.2 cm,2.4 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DD3
Discmania,DDx,12.0,6.0,-1.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DDx
Discmania,PD,10.0,4.0,0.0,3.0,21.1 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-PD-Freak
Discmania,PD2,12.0,4.0,0.0,4.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PD2-Chaos
Discmania,PD3,11.0,3.0,0.0,5.0,21.2 cm,1.6 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PD3
Discmania,PDx,11.0,4.0,0.0,3.0,21.1 cm,1.9 cm,1.2 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PDx
Discmania,Sea Serpent,11.0,5.0,-2.0,2.0,21.0 cm,1.7 cm,1.1 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Sea-Serpent
Discmania,P1X,2.0,3.0,0.0,0.0,21.2 cm,2.0 cm,1.4 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Discmania-P1X
Discmania,TDx,9.0,5.0,-3.0,1.0,21.1 cm,1.5 cm,1.2 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TDx
Discmania,CD2,9.0,5.0,-1.0,2.0,21.1 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD2
Discmania,Essence,8.0,6.0,-2.0,1.0,21.0 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Essence
Discmania,TD2 Fever,10.0,5.0,-4.0,1.0,21.1 cm,1.6 cm,1.1 cm,2.1 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TD2-Fever
Discmania,FD2,7.0,4.0,0.0,2.0,21.2 cm,1.6 cm,1.1 cm,1.8 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-FD2
Discmania,Link,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Link
Discmania,Spring Ox,4.0,3.0,0.0,2.0,21.6 cm,1.9 cm,1.4 cm,1.4 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Spring-Ox
Discmania,Method,5.0,5.0,0.0,3.0,21.9 cm,2.1 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Method
Discmania,MD5,5.0,3.0,0.0,4.0,21.0 cm,1.9 cm,1.3 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD5
Discmania,FD,7.0,6.0,-1.0,1.0,21.2 cm,1.8 cm,1.1 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Discmania-FD
Discmania,MD3,5.0,5.0,0.0,2.0,21.8 cm,1.9 cm,1.3 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD3
Discmania,MD2,4.0,5.0,0.0,2.0,21.7 cm,2.0 cm,1.4 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD2-Fiend
Discmania,MD4,5.0,4.0,0.0,3.0,21.7 cm,1.6 cm,1.4 cm,1.4 cm,Beaded,Very Overstable,https://infinitediscs.com/Discmania-MD4
Discmania,MD,4.0,5.0,0.0,0.0,21.8 cm,2.1 cm,1.4 cm,1.4 cm,Beadless,Stable,https://infinitediscs.com/Discmania-MD
Discmania,Gremlin GM,5.0,4.0,0.0,2.0,21.2 cm,1.8 cm,1.2 cm,1.4 cm,Beaded,Overstable,https://infinitediscs.com/Discmania-Gremlin-GM
Discmania,Sun Bird,7.0,5.0,-4.0,1.0,21.3 cm,1.8 cm,1.2 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discmania-Sun-Bird
Discmania,Instinct,7.0,5.0,0.0,2.0,21.2 cm,1.8 cm,1.1 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Instinct
Discmania,Fox Spirit,6.0,4.0,0.0,2.0,21.0 cm,1.5 cm,1.1 cm,1.6 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Fox-Spirit
Discmania,FD3,9.0,4.0,0.0,3.0,21.2 cm,1.7 cm,1.1 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-FD3
Discmania,MD1,4.0,4.0,0.0,2.0,21.7 cm,2.2 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-MD1
Discraft,Challenger SS,2.0,4.0,-1.0,2.0,21.0 cm,2.2 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Challenger-SS
Discraft,Sol,4.0,5.0,-3.0,0.0,20.0 cm,2.3 cm,1.9 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Sol
Discraft,Stratus,5.0,5.0,-3.0,1.0,21.4 cm,1.8 cm,1.2 cm,1.2 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Stratus
Discraft,Wasp,5.0,5.0,0.0,3.0,21.6 cm,1.8 cm,1.3 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Wasp
Discraft,APX,2.0,3.0,-1.0,1.0,21.0 cm,2.3 cm,1.4 cm,0.9 cm,Beaded,Understable,https://infinitediscs.com/Discraft-APX
Discraft,Banger GT,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.6 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Discraft-Banger-GT
Discraft,Challenger,2.0,3.0,0.0,2.0,21.0 cm,2.2 cm,1.6 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Challenger
Discraft,Challenger OS,3.0,5.0,0.0,2.5,21.1 cm,2.0 cm,1.5 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Challenger-OS
Discraft,Fierce,3.0,4.0,-2.0,0.0,21.0 cm,2.3 cm,1.4 cm,1.0 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Fierce
Discraft,Magnet,2.0,3.0,-1.0,2.0,21.2 cm,2.0 cm,0.8 cm,0.8 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Magnet
Discraft,Luna,3.0,3.0,0.0,3.0,21.1 cm,2.0 cm,1.4 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Luna
Discraft,Putt'r,2.0,3.0,-2.0,1.0,21.0 cm,2.4 cm,1.6 cm,0.9 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Puttr
Discraft,Rattler,2.0,3.0,-1.0,1.0,21.2 cm,2.2 cm,1.6 cm,0.6 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Rattler
Discraft,Ringer,3.0,4.0,0.0,2.0,21.0 cm,1.8 cm,1.2 cm,0.9 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Ringer
Discraft,Ringer GT,3.0,3.0,0.0,3.0,21.1 cm,1.7 cm,1.1 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Discraft-Ringer-GT
Discraft,Roach,2.0,4.0,0.0,1.0,21.1 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Roach
Discraft,Soft Magnet,2.0,3.0,-1.0,2.0,21.2 cm,2.0 cm,1.4 cm,0.8 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Soft-Magnet
Discraft,Zone,4.0,3.0,0.0,3.0,21.1 cm,2.0 cm,1.3 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Zone
Discraft,Nebula,5.0,4.0,-0.5,2.0,21.3 cm,2.0 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Nebula
Discraft,Focus,2.0,3.0,-1.0,2.0,21.1 cm,2.1 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Focus
Discraft,Meteor,4.0,5.0,-3.0,1.0,21.5 cm,2.0 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Meteor
Discraft,Comet,4.0,5.0,-2.0,1.0,21.8 cm,2.1 cm,1.3 cm,1.2 cm,Beaded,Understable,https://infinitediscs.com/Discraft-Comet
Discraft,Impact,5.0,5.0,-2.0,2.0,21.6 cm,2.0 cm,1.3 cm,1.3 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Impact
Discraft,Mantis,8.0,4.0,-2.0,2.0,21.2 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Mantis
Discraft,Heat,9.0,6.0,-3.0,1.0,21.1 cm,2.1 cm,1.2 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Heat
Discraft,Eclipse,7.0,5.0,-2.0,2.0,22.0 cm,1.6 cm,1.2 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Eclipse
Discraft,Cyclone,7.0,4.0,-1.0,3.0,21.3 cm,1.8 cm,1.2 cm,1.6 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Cyclone
